,all,animal,non-animal
0,84.45,91.18333333333334,74.35
1,83.97,94.55,68.1
2,84.51,86.05,82.2
3,83.34,79.76666666666667,88.7
4,85.08,84.2,86.4
5,85.85,90.23333333333333,79.275
6,84.16,89.71666666666667,75.825
7,84.58,83.08333333333333,86.825
8,81.24,96.71666666666667,58.025
9,85.52,92.03333333333333,75.75
