,all,animal,non-animal
0,78.23,70.06666666666666,90.475
1,84.44,83.7,85.55
2,82.85,82.56666666666666,83.275
3,81.01,76.7,87.475
4,81.15,94.26666666666667,61.475
5,84.69,86.9,81.375
6,83.78,88.56666666666666,76.6
7,84.64,90.18333333333334,76.325
8,83.71,88.55,76.45
9,84.34,92.8,71.65
